Temperature,Dissolved Oxygen,pH,Bio-Chemical Oxygen Demand (mg/L),Nitrate (mg/ L),Faecal Coliform (MPN/ 100 mL),Total Coliform (MPN/ 100 mL),Conductivity (mho/ Cm),WQI,Potability
26,3,7.2,5,0.6,11350,83150,251.5,52.2798854,C
25,2.2,7.2,16.4,2.15,27850,85500,690.5,142.1536776,E
25,2.55,7.2,16.3,2.05,32500,91000,687.5,142.2617787,E
24.5,8.25,8,1.6,0.55,11550,80700,236,49.25695277,B
28,8.5,8.15,2.1,0.55,28200,49050,308,65.90611328,C
24,7.95,7.8,1.9,0.25,8890,47350,401.5,81.4674044,D
24.5,4,7.4,3.7,0.35,14225,81650,374.5,76.98386184,D
25.5,4.95,7.4,3.5,0.25,7465,27700,438.5,88.48941666,D
27,7,7.7,2.2,0.35,9350,22150,337,68.69932091,C
27.5,7.85,7.9,2,0.35,5680,14550,322,65.18804983,C
26,6.7,7.8,2.05,0.45,11700,21000,472.5,95.84093304,D
26,4.65,7.3,5.15,0.7,14090,85500,418.5,85.79052087,D
26.5,7.6,7.5,1.2,,,,,0.524595241,A
26.5,9,7.7,2.75,0.55,3750,6500,289.5,58.52341146,C
28,8.3,7.7,2.45,0.6,6250,12050,281.5,57.30403722,C
28,9,7.85,2.45,0.5,4460,9200,423.5,85.13300221,D
26,7.35,7.7,3.7,0.55,11400,83500,670.5,135.2459612,E
26.5,8.6,7.9,2.55,0.55,6955,18200,350.5,71.08534051,C
27.25,8.6,7.85,2.35,0.55,2650,6850,353.5,70.99909851,C
27.75,9.1,7.9,2,0.5,6050,18150,261,53.23755944,C
27.25,8.6,7.7,2.45,0.55,2000,6750,353.5,70.90275818,C
27.5,8.4,7.9,2.55,0.55,3500,28350,372.5,74.95347538,C
28.25,8.7,7.85,2.8,0.5,2350,7650,355.5,71.37185983,C
27.5,4.1,7.7,3.65,0.45,154500,458000,481.5,120.0862826,E
28.5,2.25,7.8,3.8,0.55,150550,451500,477.5,118.6588326,E
26.75,8.35,7.95,2.8,0.55,3200,6050,343,69.01405218,C
27,6.95,7.7,3.6,0.3,18200,88500,448.5,92.31895396,D
27,7.15,7.7,4.2,0.3,46200,90500,546,115.7853381,E
27.5,6.95,7.7,3.65,0.5,251000,452000,417,121.6766298,E
28.5,6.4,7.6,2.2,1.15,7200,20500,3413,676.8793442,E
27,6.5,7.4,2.55,1.65,9600,22000,1217.5,243.0152299,E
21,7.15,7.55,1.65,1.55,700,2330,131.5,26.78439565,B
22.5,6.7,7.3,1.3,0.8,180.9,615,151.5,30.55869672,B
24,7.55,7.3,1.75,1.45,900,2510,162,32.85422856,B
25,7.35,7.7,1.8,1.7,930,2550,128,26.16597424,B
26,5.9,7.75,1.4,1.15,550.9,2510,136,27.58746229,B
27,7.8,7.9,1.55,1.45,930,2750,124,25.3646028,B
27,7.7,7.55,1.7,2,515,1400,123,25.14637631,B
24.5,7.8,7.5,1.75,1.55,700,1760,127,25.9219819,B
29,5.75,7.6,1.55,1.2,1150,2800,140.5,28.57688013,B
21.5,5,7.75,2,1.4,460.9,1350.9,131.5,26.69231607,B
23,7.55,7.6,1.6,1.15,750,2110,106,21.72532056,A
25.5,6.8,7.05,1.95,1.3,900,1900,52,11.06405569,A
22,4.75,7.35,3.65,1.7,1360,4610,188,38.09068821,B
24.5,6.95,7.35,1.35,1.75,515,900,171,34.56946104,B
24,6.7,7.15,1.35,1.05,605,1200,183,36.8789237,B
